"date","summary","group"
"2008-08-18","The domain bitcoin.org is registered, marking the first known online presence of the Bitcoin project.","#OfficialBitcoin"
"2008-08-20","Satoshi emails Adam Back about Hashcash; Back points him to Wei Dai's b-money, inspiring Bitcoin's design.","Satoshi Nakamoto - Emails"
"2008-10-31","Satoshi Nakamoto publishes the Bitcoin white paper, introducing peer-to-peer electronic cash to the world.","#OfficialBitcoin"
"2009-01-03","The Bitcoin genesis block is mined by Satoshi, embedding a UK bank bailout headline as a timestamp.","#OfficialBitcoin"
"2009-01-08","Announces Bitcoin v0.1 release on SourceForge, inviting others to run nodes and test the new network.","Satoshi Nakamoto - Emails"
"2009-01-09","Bitcoin v0.1 released by Satoshi Nakamoto, the first open-source client launching the Bitcoin network.","Bitcoin software variants"
"2009-01-12","Satoshi sends 10 BTC to Hal Finney in the first Bitcoin transaction ever recorded on the blockchain.","#OfficialBitcoin"
"2009-02-04","Bitcoin v0.1.5 released, a bugfix patch addressing issues found after the initial launch.","Bitcoin software variants"
"2009-02-11","Tells mailing list Bitcoin is based on cryptographic proof, not trust, solving the double-spend problem.","Satoshi Nakamoto - Emails"
"2009-02-12","Bitcoin v0.1.6 released, an urgent patch to fix a critical bug shortly after v0.1.5.","Bitcoin software variants"
"2009-05-02","Emails Martti Malmi (""Sirius""), asking for help writing FAQ text and running a node to support Bitcoin.","Satoshi Nakamoto - Emails"
"2009-10-05","NewLibertyStandard posts first BTC/USD rate: $1 = 1,309.03 BTC, establishing initial valuation.","#OfficialBitcoin"
"2009-10-12","First Bitcoin sale: 5,050 BTC traded for $5.02 via PayPal; earliest OTC valuation signal.","#OfficialBitcoin"
"2009-12-16","Bitcoin v0.2.0 released, adding Linux support and multi-core mining improvements.","Bitcoin software variants"
"2010-01-05","First Windows GUI miner released by Satoshi, easing entry for early home miners.","Bitcoin software variants"
"2010-03-11","Bitcoin v0.2.1 released, maintenance patch with bugfixes after 0.2.0.","Bitcoin software variants"
"2010-03-17","BitcoinMarket.com launches, becoming the first crypto exchange and enabling BTC price discovery.","#OfficialBitcoin"
"2010-04-01","Bitcoin v0.2.2 released, further bug fixes and minor improvements.","Bitcoin software variants"
"2010-05-17","Laszlo Hanyecz posts interest in buying food with Bitcoin, seeking real-world utility test.","#OfficialBitcoin"
"2010-05-18","Laszlo makes specific offer on Bitcointalk: 10,000 BTC for two large pizzas delivered.","#OfficialBitcoin"
"2010-05-20","Community discusses the economics of the trade, debating Bitcoin's real-world value.","#OfficialBitcoin"
"2010-05-22","Laszlo Hanyecz buys two pizzas for 10,000 BTC, marking the first real-world Bitcoin commercial purchase.","#OfficialBitcoin"
"2010-05-24","Community celebrates milestone; Jeremy Sturdivant accepts payment, annual Pizza Day tradition begins.","#OfficialBitcoin"
"2010-07-06","Bitcoin v0.3.0 released, a major update marking wider adoption beyond early testers.","Bitcoin software variants"
"2010-07-11","Bitcoin v0.3.1 released, fixing initial bugs from version 0.3.0.","Bitcoin software variants"
"2010-07-12","$0.008 → $0.08 — Price surges 10× in ~5–10 days.","#OfficialBitcoin"
"2010-07-17","Bitcoin v0.3.2 released, introducing checkpoints for added security.","Bitcoin software variants"
"2010-07-18","Mt. Gox launches as a Bitcoin exchange, later becoming the world's largest before its collapse.","#OfficialBitcoin"
"2010-07-25","Bitcoin v0.3.3 released, addressing network stability issues.","Bitcoin software variants"
"2010-07-28","Bitcoin v0.3.4 released, with further stability and security improvements.","Bitcoin software variants"
"2010-07-29","Bitcoin v0.3.5 released, providing critical bug and security fixes.","Bitcoin software variants"
"2010-08-05","On Bitcointalk, Satoshi argues Bitcoin's energy use is less wasteful than the traditional banking system.","Satoshi Nakamoto - Emails"
"2010-08-09","Bitcoin v0.3.6 released, continuing stability and bug improvements.","Bitcoin software variants"
"2010-08-15","A critical code bug creates 184 billion invalid BTC; patched quickly, showing resilience of the network.","#OfficialBitcoin"
"2010-08-16","Bitcoin v0.3.7 released, addressing small bugs and network handling.","Bitcoin software variants"
"2010-08-28","Bitcoin v0.3.8 released, improving block handling and reliability.","Bitcoin software variants"
"2010-09-07","Satoshi implements 1MB block size limit as temporary anti-spam measure.","#OfficialBitcoin"
"2010-09-10","Bitcoin v0.3.9 released, a Windows-specific bug fix for client stability.","Bitcoin software variants"
"2010-09-14","A user offers 10,000 BTC for GPU mining software, sparking the transition from CPU to faster mining tech.","#OfficialBitcoin"
"2010-09-17","Bitcoin v0.3.10 released, enhancing RPC functions and overall security.","Bitcoin software variants"
"2010-09-18","First GPU mining software released, dramatically increasing hash rates and mining efficiency.","#OfficialBitcoin"
"2010-09-29","Bitcoin v0.3.11 released, followed by Bitcoin v0.3.12 the same day","Bitcoin software variants"
"2010-10-01","Bitcoin v0.3.13 released, addressing a micro-transaction related bug.","Bitcoin software variants"
"2010-10-07","> $0.06 — Price breaks out after months of stagnation.","#OfficialBitcoin"
"2010-10-17","The #bitcoin-otc IRC channel launches, enabling early over-the-counter peer-to-peer Bitcoin trading.","#OfficialBitcoin"
"2010-11-01","The orange Bitcoin logo, created by ""Bitboy,"" is released and soon becomes the enduring symbol of Bitcoin.","#OfficialBitcoin"
"2010-11-06","~$0.50 — Market cap hits ~$1M for the first time.","#OfficialBitcoin"
"2010-11-22","Bitcoin v0.3.15 released, introducing small fixes and improvements.","Bitcoin software variants"
"2010-12-05","Warns WikiLeaks not to adopt Bitcoin, calling it a ""hornet's nest"" that could bring destructive attention.","Satoshi Nakamoto - Emails"
"2010-12-07","First mobile Bitcoin app enables a phone-to-phone transfer on a Nokia N900, expanding BTC accessibility.","#OfficialBitcoin"
"2010-12-09","Bitcoin v0.3.16 released, refining performance and bug corrections.","Bitcoin software variants"
"2010-12-12","Satoshi withdraws from development, Bitcoin becomes truly decentralized project.","#OfficialBitcoin"
"2010-12-13","Bitcoin v0.3.17 released, fixing minor issues and improving stability.","Bitcoin software variants"
"2010-12-16","Slush Pool mines its first block, pioneering pooled mining for more stable Bitcoin mining rewards.","#OfficialBitcoin"
"2010-12-20","Bitcoin v0.3.18 released, with further small corrections and updates.","Bitcoin software variants"
"2010-12-23","Bitcoin v0.3.19 released, a maintenance update with bug improvements.","Bitcoin software variants"
"2010-12-30","Bitcoin v0.3.20 released, the last 0.3 update before the major shift in 2011.","Bitcoin software variants"
